artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
7iK8PXO48WeuP03g8YR51W,Myke Towers,reggaeton,trap latino,urbano latino,,,
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
7Gi6gjaWy3DxyilpF1a8Is,Junior H,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,musica chihuahuense,,,,,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
66ihevNkSYNzRAl44dx6jJ,Carin Leon,banda,corrido,musica mexicana,sad sierreno,sierreno,
1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,reggaeton,,,,,
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,corrido,corridos tumbados,sad sierreno,sierreno,,
716NhGYqD1jl2wI1Qkgq36,Bizarrap,argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,
51ZSh80McCt7vbqHouzW0A,Yahritza Y Su Esencia,sad sierreno,,,,,
0elWFr7TW8piilVRYJUe4P,Natanael Cano,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
0GM7qgcRCORpGnfcN2tCiB,Tainy,pop reggaeton,reggaeton,trap latino,urbano latino,,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,reggaeton,trap latino,urbano latino,,,
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,corrido,corridos tumbados,sierreno,,,
66ihevNkSYNzRAl44dx6jJ,Carin Leon,banda,corrido,musica mexicana,sad sierreno,sierreno,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
2rmkQLzj0k4nZdQehOUByO,Chino Pacas,corrido,,,,,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
3oNy8cjBtJzLC07I70sklp,Belanova,latin arena pop,latin pop,mexican pop,,,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
7Gi6gjaWy3DxyilpF1a8Is,Junior H,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,,,
52iwsT98xCoGgiGntTiR7K,Quevedo,rap canario,trap latino,urbano latino,,,
1gJdf4Yybu4X5A2xYV3NMV,Eden Muñoz,corrido,sierreno,,,,
2LRoIwlKmHjgvigdNGBHNo,Feid,colombian pop,pop reggaeton,reggaeton colombiano,trap latino,urbano latino,
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
4WFwvZ4L8FZbt3qubbQJS6,Michelle Maciel,urbano mexicano,,,,,
0elWFr7TW8piilVRYJUe4P,Natanael Cano,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,,,,,,
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,reggaeton,trap colombiano,trap latino,urbano latino,,
07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,latin hip hop,mexican hip hop,,,,
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,hip hop,rap,slap house,,,
790FomKkXshlbRYZFtlgla,KAROL G,reggaeton,reggaeton colombiano,trap latino,urbano latino,,
0elWFr7TW8piilVRYJUe4P,Natanael Cano,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
4obzFoKoKRHIphyHzJ35G3,Becky G,latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,corrido,corridos tumbados,sad sierreno,sierreno,,
7Gi6gjaWy3DxyilpF1a8Is,Junior H,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
2jSGzJw0ebJLu7OLVSOcBP,Plan B,reggaeton,trap latino,urbano latino,,,
6XTGKOV9jceQ6f67lnhpbF,LATIN MAFIA,urbano mexicano,,,,,
0elWFr7TW8piilVRYJUe4P,Natanael Cano,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
790FomKkXshlbRYZFtlgla,KAROL G,reggaeton,reggaeton colombiano,trap latino,urbano latino,,
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,colombian pop,reggaeton,reggaeton colombiano,trap latino,urbano latino,
