id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7ovUcF5uHTBRzUpB6ZOmvt,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07e-06,0.367,0.836,166.008,213234,4
7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4
10zz9RZt9DnqcxNWksRNrx,0.425,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,224806,4
1H3qOzheTPhE7aVvJOWfvA,0.545,0.913,1,-3.565,1,0.0298,0.0107,0.00029,0.245,0.747,98.047,211920,4
12usPU2WnqgCHAW1EK2dfd,0.479,0.898,1,-4.809,1,0.169,0.0134,0.0,0.297,0.639,151.99,196467,4
170XOP1T4MvY9TLTgPw07D,0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,263107,4
4NaaF28BeO9WzjDrSS71Nz,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4
5BC6kr6etk2Y9J62AyI4i3,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,270027,4
6wffxmLgeZTbvS1hYvLkht,0.481,0.901,0,-5.629,1,0.163,0.0114,0.0,0.314,0.817,194.084,288100,4
4zrKPIygugUDKGFEjVwpSB,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,305509,4
5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4
0teqQ0PYqVDyyXJuPOyMhu,0.756,0.578,6,-4.575,0,0.0327,0.0306,0.0,0.0534,0.677,115.004,272227,4
5m21ZR5lO6U0tp9KENxuCc,0.485,0.946,6,-3.721,0,0.11,0.0068,0.0,0.289,0.621,130.059,251333,4
2vMc8rqFmqs7RFi8NDx0CJ,0.589,0.527,4,-8.332,1,0.0572,0.0932,0.000337,0.104,0.576,138.023,229333,4
